표제어,접미사,미칭부
臨瀛大君,大君,臨瀛
臨贏大君,大君,臨贏
茂安大君,大君,茂安
誠寧大君,大君,誠寧
讓寧大君,大君,讓寧
錦城大君,大君,錦城
鎭安大君,大君,鎭安
首陽大君,大君,首陽
魯山大君,大君,魯山
鳳林大君,大君,鳳林
鸏坪大君,大君,鸏坪
麟坪大君,大君,麟坪
麟平大君,大君,麟平
齊安兩大君,大君,齊安兩
齊安大君,大君,齊安
龍城大君,大君,龍城
全奚大院君,大院君,全奚
全溪大院君,大院君,全溪
定遠大院君,大院君,定遠
廟大院君,大院君,廟
德興大院君,大院君,德興
興宣大院君,大院君,興宣
一善尉,尉,一善
于廷尉,尉,于廷
仁平尉,尉,仁平
何城尉,尉,何城
光川尉,尉,光川
光州尉,尉,光州
光恩尉,尉,光恩
光恩府尉,尉,光恩府
全昌尉,尉,全昌
全義尉,尉,全義
劉太尉,尉,劉太
千參尉,尉,千參
南寧尉,尉,南寧
南昌尉,尉,南昌
南昌縣尉,尉,南昌縣
吉城尉,尉,吉城
吉昌尉,尉,吉昌
呂城尉,尉,呂城
周大尉,尉,周大
周太尉,尉,周太
唐原尉,尉,唐原
唐城尉,尉,唐城
唐安尉,尉,唐安
唐恩尉,尉,唐恩
唐陽尉,尉,唐陽
啓川尉,尉,啓川
坡原尉,尉,坡原
坡平尉,尉,坡平
奉城尉,尉,奉城
定平尉,尉,定平
宜城尉,尉,宜城
宜山尉,尉,宜山
宜川尉,尉,宜川
寅平尉,尉,寅平
寧陽尉,尉,寧陽
延城尉,尉,延城
延昌尉,尉,延昌
張廷尉,尉,張廷
房太尉,尉,房太
斑城尉,尉,斑城
新右衛門尉,尉,新右衛門
新安尉,尉,新安
日城尉,尉,日城
昌城尉,尉,昌城
昌寧尉,尉,昌寧
星原尉,尉,星原
晉安尉,尉,晉安
晋安尉,尉,晋安
月城尉,尉,月城
李太尉,尉,李太
李衛尉,尉,李衛
東安尉,尉,東安
東寧尉,尉,東寧
東平尉,尉,東平
東昌尉,尉,東昌
東陽尉,尉,東陽
柔川尉,尉,柔川
楊太尉,尉,楊太
段太尉,尉,段太
永城尉,尉,永城
永安尉,尉,永安
永平尉,尉,永平
永明尉,尉,永明
河城尉,尉,河城
洛城尉,尉,洛城
洪檢唐原尉,尉,洪檢唐原
海崇尉,尉,海崇
海嵩尉,尉,海嵩
海平尉,尉,海平
海昌尉,尉,海昌
海松尉,尉,海松
淳原尉,尉,淳原
淸原尉,尉,淸原
淸城尉,尉,淸城
淸寧尉,尉,淸寧
淸川尉,尉,淸川
淸平尉,尉,淸平
漢川尉,尉,漢川
漢廷尉,尉,漢廷
王太尉,尉,王太
王衛尉,尉,王衛
班城尉,尉,班城
益平尉,尉,益平
礪城尉,尉,礪城
禁城尉,尉,禁城
綾原尉,尉,綾原
綾城尉,尉,綾城
綾日尉,尉,綾日
綾昌尉,尉,綾昌
綾陽尉,尉,綾陽
羅縣尉,尉,羅縣
翟廷尉,尉,翟廷
胡太尉,尉,胡太
興平尉,尉,興平
興恩尉,尉,興恩
花川尉,尉,花川
華川尉,尉,華川
豊原尉,尉,豊原
豊川尉,尉,豊川
豐原尉,尉,豐原
豐川尉,尉,豐川
連城尉,尉,連城
達城尉,尉,達城
金昌尉,尉,金昌
鈴原尉,尉,鈴原
鈴川尉,尉,鈴川
鈴平尉,尉,鈴平
錦城尉,尉,錦城
錦平尉,尉,錦平
錦昌尉,尉,錦昌
錦陵尉,尉,錦陵
錦陽尉,尉,錦陽
陶太尉,尉,陶太
雲城尉,尉,雲城
靈川尉,尉,靈川
靈陽尉,尉,靈陽
靑城尉,尉,靑城
靑寧尉,尉,靑寧
靑川尉,尉,靑川
靑平尉,尉,靑平
靑衍尉,尉,靑衍
韓太尉,尉,韓太
順義豐原尉,尉,順義豐原
順義靑城尉,尉,順義靑城
驪川尉,尉,驪川
高原尉,尉,高原
麟坪尉,尉,麟坪
黃昌府尉,尉,黃昌府
上洛府院君,府院君,上洛
上黨府院君,府院君,上黨
丹山府院君,府院君,丹山
交城府院君,府院君,交城
仁山府院君,府院君,仁山
何東府院君,府院君,何東
光城府院君,府院君,光城
光山府院君,府院君,光山
光源府院君,府院君,光源
光陽府院君,府院君,光陽
全興府院君,府院君,全興
全陽府院君,府院君,全陽
公山府院君,府院君,公山
南原府院君,府院君,南原
南寧府院君,府院君,南寧
南陽府院君,府院君,南陽
原平府院君,府院君,原平
吉昌府院君,府院君,吉昌
咸原府院君,府院君,咸原
咸從府院君,府院君,咸從
咸恩府院君,府院君,咸恩
咸陵府院君,府院君,咸陵
唐城府院君,府院君,唐城
唐興府院君,府院君,唐興
商山府院君,府院君,商山
固城府院君,府院君,固城
坡原府院君,府院君,坡原
坡城府院君,府院君,坡城
坡山府院君,府院君,坡山
坡川府院君,府院君,坡川
坡平府院君,府院君,坡平
奉寧府院君,府院君,奉寧
始寧府院君,府院君,始寧
安城府院君,府院君,安城
安川府院君,府院君,安川
安平府院君,府院君,安平
安邊府院君,府院君,安邊
完南府院君,府院君,完南
完原府院君,府院君,完原
完城府院君,府院君,完城
完山府院君,府院君,完山
完平府院君,府院君,完平
完豊府院君,府院君,完豊
完豐府院君,府院君,完豐
完陽府院君,府院君,完陽
定昌府院君,府院君,定昌
宜寧府院君,府院君,宜寧
宣城府院君,府院君,宣城
宣誠府院君,府院君,宣誠
寅城府院君,府院君,寅城
密原府院君,府院君,密原
密山府院君,府院君,密山
密昌府院君,府院君,密昌
寧城府院君,府院君,寧城
居昌府院君,府院君,居昌
岑城府院君,府院君,岑城
崇祿府院君,府院君,崇祿
嵩善府院君,府院君,嵩善
嵩陽府院君,府院君,嵩陽
平城府院君,府院君,平城
平壤府院君,府院君,平壤
平川府院君,府院君,平川
平洲府院君,府院君,平洲
平陽府院君,府院君,平陽
廣州府院君,府院君,廣州
廣昌府院君,府院君,廣昌
廣陵府院君,府院君,廣陵
延原府院君,府院君,延原
延城府院君,府院君,延城
延平府院君,府院君,延平
延恩府院君,府院君,延恩
延昌府院君,府院君,延昌
延興府院君,府院君,延興
延豐府院君,府院君,延豐
延陵府院君,府院君,延陵
延陽府院君,府院君,延陽
廷昌府院君,府院君,廷昌
德平府院君,府院君,德平
德水府院君,府院君,德水
德豐府院君,府院君,德豐
思陵府院君,府院君,思陵
慶恩府院君,府院君,慶恩
慶林府院君,府院君,慶林
慶興府院君,府院君,慶興
文城府院君,府院君,文城
文成府院君,府院君,文成
文昌府院君,府院君,文昌
文陽府院君,府院君,文陽
新豊府院君,府院君,新豊
新豐府院君,府院君,新豐
昇平府院君,府院君,昇平
昌城府院君,府院君,昌城
昌寧府院君,府院君,昌寧
昌山府院君,府院君,昌山
星山府院君,府院君,星山
春城府院君,府院君,春城
晉原府院君,府院君,晉原
晉山府院君,府院君,晉山
晉陽府院君,府院君,晉陽
晋原府院君,府院君,晋原
晋山府院君,府院君,晋山
月城府院君,府院君,月城
杞城府院君,府院君,杞城
杞溪府院君,府院君,杞溪
武靈府院君,府院君,武靈
永嘉府院君,府院君,永嘉
永城府院君,府院君,永城
永安府院君,府院君,永安
永山府院君,府院君,永山
永恩府院君,府院君,永恩
永昌府院君,府院君,永昌
永興府院君,府院君,永興
永豐府院君,府院君,永豐
沔城府院君,府院君,沔城
河城府院君,府院君,河城
河東府院君,府院君,河東
波平府院君,府院君,波平
洛興府院君,府院君,洛興
海原府院君,府院君,海原
海城府院君,府院君,海城
海寧府院君,府院君,海寧
海平府院君,府院君,海平
海恩府院君,府院君,海恩
海源府院君,府院君,海源
海豊府院君,府院君,海豊
淸原府院君,府院君,淸原
淸城府院君,府院君,淸城
淸川府院君,府院君,淸川
淸平府院君,府院君,淸平
淸源府院君,府院君,淸源
淸華府院君,府院君,淸華
淸風府院君,府院君,淸風
溫陽府院君,府院君,溫陽
漆原府院君,府院君,漆原
漢原府院君,府院君,漢原
漢山府院君,府院君,漢山
漢川府院君,府院君,漢川
漢平府院君,府院君,漢平
漢源府院君,府院君,漢源
潘城府院君,府院君,潘城
燕山府院君,府院君,燕山
玉城府院君,府院君,玉城
玉山府院君,府院君,玉山
玉川府院君,府院君,玉川
瑞原府院君,府院君,瑞原
瑞寧府院君,府院君,瑞寧
甄城府院君,府院君,甄城
益城府院君,府院君,益城
益寧府院君,府院君,益寧
益平府院君,府院君,益平
益昌府院君,府院君,益昌
益豊府院君,府院君,益豊
益豐府院君,府院君,益豐
礪原府院君,府院君,礪原
礪山府院君,府院君,礪山
礪良府院君,府院君,礪良
篷原府院君,府院君,篷原
綾原府院君,府院君,綾原
綾城府院君,府院君,綾城
綾安府院君,府院君,綾安
綾川府院君,府院君,綾川
綾豐府院君,府院君,綾豐
興安府院君,府院君,興安
興寧府院君,府院君,興寧
花山府院君,府院君,花山
茂城府院君,府院君,茂城
茂松府院君,府院君,茂松
茂陵府院君,府院君,茂陵
菁川府院君,府院君,菁川
蓬原府院君,府院君,蓬原
蓬源府院君,府院君,蓬源
蓬萊府院君,府院君,蓬萊
蓬院府院君,府院君,蓬院
西原府院君,府院君,西原
西城府院君,府院君,西城
西川府院君,府院君,西川
西平府院君,府院君,西平
西陵府院君,府院君,西陵
谷山府院君,府院君,谷山
豊原府院君,府院君,豊原
豊城府院君,府院君,豊城
豊恩府院君,府院君,豊恩
豊陵府院君,府院君,豊陵
豐原府院君,府院君,豐原
豐城府院君,府院君,豐城
豐恩府院君,府院君,豐恩
豐興府院君,府院君,豐興
豐院府院君,府院君,豐院
豐陵府院君,府院君,豐陵
象山府院君,府院君,象山
逢原府院君,府院君,逢原
達城府院君,府院君,達城
達川府院君,府院君,達川
醴泉府院君,府院君,醴泉
鈴原府院君,府院君,鈴原
鈴川府院君,府院君,鈴川
鈴平府院君,府院君,鈴平
錦城府院君,府院君,錦城
錦川府院君,府院君,錦川
鐵原府院君,府院君,鐵原
鐵城府院君,府院君,鐵城
長川府院君,府院君,長川
長溪府院君,府院君,長溪
長興府院君,府院君,長興
陵城府院君,府院君,陵城
陵安府院君,府院君,陵安
陵川府院君,府院君,陵川
陽川府院君,府院君,陽川
雲城府院君,府院君,雲城
雲誠府院君,府院君,雲誠
靈城府院君,府院君,靈城
靑原府院君,府院君,靑原
靑城府院君,府院君,靑城
靑川府院君,府院君,靑川
靑恩府院君,府院君,靑恩
靑松府院君,府院君,靑松
靑綾府院君,府院君,靑綾
靑華府院君,府院君,靑華
靑陵府院君,府院君,靑陵
韓川府院君,府院君,韓川
驪城府院君,府院君,驪城
驪川府院君,府院君,驪川
驪平府院君,府院君,驪平
驪恩府院君,府院君,驪恩
驪興府院君,府院君,驪興
驪陽府院君,府院君,驪陽
高陽府院君,府院君,高陽
高靈府院君,府院君,高靈
魯山府院君,府院君,魯山
鰲城府院君,府院君,鰲城
鰲興府院君,府院君,鰲興
鵝城府院君,府院君,鵝城
鷄林府院君,府院君,鷄林
鼇城府院君,府院君,鼇城
鼇興府院君,府院君,鼇興
龍原府院君,府院君,龍原
寅平都尉,都尉,寅平
徐都尉,都尉,徐
昌城都尉,都尉,昌城
月城都尉,都尉,月城
東平都尉,都尉,東平
東陽都尉,都尉,東陽
永安都尉,都尉,永安
永明都尉,都尉,永明
海昌都尉,都尉,海昌
申都尉,都尉,申
賢都尉,都尉,賢
鄭都尉,都尉,鄭
錦城都尉,都尉,錦城
錦平都尉,都尉,錦平
靑平都尉,都尉,靑平
一新都正,都正,一新
交城都正,都正,交城
仁陽都正,都正,仁陽
儒川都正,都正,儒川
光山都正,都正,光山
全坪都正,都正,全坪
全安都正,都正,全安
全川都正,都正,全川
全溪都正,都正,全溪
凝川都正,都正,凝川
加恩都正,都正,加恩
原豐都正,都正,原豐
原陽都正,都正,原陽
唐城都正,都正,唐城
商山都正,都正,商山
坡山都正,都正,坡山
坡興都正,都正,坡興
坡陵都正,都正,坡陵
壽城都正,都正,壽城
夏城都正,都正,夏城
夏山都正,都正,夏山
夏川都正,都正,夏川
夏陵都正,都正,夏陵
守山都正,都正,守山
安南都正,都正,安南
完城都正,都正,完城
完川都正,都正,完川
完春都正,都正,完春
完豐都正,都正,完豐
宜城都正,都正,宜城
宣成都正,都正,宣成
密安都正,都正,密安
密山都正,都正,密山
密春都正,都正,密春
密豐都正,都正,密豐
密雲都正,都正,密雲
尙臼都正,都正,尙臼
居平都正,都正,居平
常山都正,都正,常山
平原都正,都正,平原
平城都正,都正,平城
平昌都正,都正,平昌
延城都正,都正,延城
從南都正,都正,從南
德恩都正,都正,德恩
德興都正,都正,德興
德陽都正,都正,德陽
慶平都正,都正,慶平
慶興都正,都正,慶興
懷義都正,都正,懷義
扶安都正,都正,扶安
抨城都正,都正,抨城
敦寧都正,都正,敦寧
新豐都正,都正,新豐
昇平都正,都正,昇平
昌城都正,都正,昌城
昌寧都正,都正,昌寧
昌林都正,都正,昌林
明城都正,都正,明城
明川都正,都正,明川
春溪都正,都正,春溪
晉山都正,都正,晉山
景恩都正,都正,景恩
朗原都正,都正,朗原
杜陵都正,都正,杜陵
杞安都正,都正,杞安
東善都正,都正,東善
東平都正,都正,東平
枰城都正,都正,枰城
栗元都正,都正,栗元
桃平都正,都正,桃平
楊林都正,都正,楊林
樂春都正,都正,樂春
毛山都正,都正,毛山
毛陽都正,都正,毛陽
江寧都正,都正,江寧
河南都正,都正,河南
洛山都正,都正,洛山
洪山都正,都正,洪山
海安都正,都正,海安
海寧都正,都正,海寧
海平都正,都正,海平
海淸都正,都正,海淸
海瀛都正,都正,海瀛
海興都正,都正,海興
海蓬都正,都正,海蓬
海豐都正,都正,海豐
海運都正,都正,海運
淸溪都正,都正,淸溪
淸豊都正,都正,淸豊
湖城都正,都正,湖城
湖安都正,都正,湖安
湖山都正,都正,湖山
溪川都正,都正,溪川
漢陰都正,都正,漢陰
潘南都正,都正,潘南
潢陰都正,都正,潢陰
瀛萊都正,都正,瀛萊
烏山都正,都正,烏山
牟陽都正,都正,牟陽
珍山都正,都正,珍山
珍陽都正,都正,珍陽
琅堤都正,都正,琅堤
琅瑅都正,都正,琅瑅
益城都正,都正,益城
益寧都正,都正,益寧
益山都正,都正,益山
益陽都正,都正,益陽
石陽都正,都正,石陽
終南都正,都正,終南
綾城都正,都正,綾城
綾山都正,都正,綾山
綾峰都正,都正,綾峰
綾陽都正,都正,綾陽
義城都正,都正,義城
義陽都正,都正,義陽
興原都正,都正,興原
花寧都正,都正,花寧
花山都正,都正,花山
茂林都正,都正,茂林
蓮城都正,都正,蓮城
蓮恩都正,都正,蓮恩
蓮昌都正,都正,蓮昌
行樂城都正,都正,行樂城
西城都正,都正,西城
西平都正,都正,西平
西陵都正,都正,西陵
豊川都正,都正,豊川
豐山都正,都正,豐山
豐川都正,都正,豐川
遂安都正,都正,遂安
達城都正,都正,達城
金山都正,都正,金山
長城都正,都正,長城
長川都正,都正,長川
長溪都正,都正,長溪
陽原都正,都正,陽原
陽川都正,都正,陽川
陽平都正,都正,陽平
陽林都正,都正,陽林
雲原都正,都正,雲原
雲林都正,都正,雲林
雲水都正,都正,雲水
靈原都正,都正,靈原
靈林都正,都正,靈林
靈豐都正,都正,靈豐
靈陽都正,都正,靈陽
靑源都正,都正,靑源
順平都正,都正,順平
高安都正,都正,高安
鳳林都正,都正,鳳林
鵠城都正,都正,鵠城
鶴林都正,都正,鶴林
龜興都正,都正,龜興
